,time,inherent MSD,inherent MSCD,actual MSD,actual MSCD
87,18.4,7.651648665489835,6.2634985557716805,8.002604940259298,6.693211240510757
88,18.6,7.716199272389702,6.3509911826233045,8.070947305913142,6.79496957915311
89,18.8,7.780927317475915,6.48560819344636,8.135480029965839,6.897006190556843
90,19.0,7.845903875413366,6.593580337841842,8.201914966337815,7.08176846153604
91,19.2,7.910740930336573,6.677135498844397,8.258360105137251,7.201783964296767
92,19.4,7.974683646818149,6.74034957566591,8.321013277330222,7.260743124873745
93,19.6,8.04157205029091,6.808480026621598,8.392602724129071,7.291118353546964
94,19.8,8.105158790837097,6.86237870870432,8.458724232278593,7.384688328410465
95,20.0,8.168382507889477,6.914972573954604,8.522019806634148,7.438929097493282
96,20.2,8.227929102708536,6.892700985748451,8.57741690510276,7.368976261262279
97,20.4,8.286600111497846,6.887762708857038,8.632291235174735,7.348518910492676
98,20.6,8.349177372493589,6.903542515561856,8.691108003726203,7.412519225452418
99,20.8,8.410970823020234,6.9412051793118446,8.750225184451041,7.45283680343172
100,21.0,8.472451035767731,6.970756564994061,8.813255766890236,7.4703581326359805
101,21.2,8.533149813986675,7.016963429387851,8.878532458201223,7.501610919844931
102,21.4,8.594253875372718,7.078706275588803,8.940008645058281,7.570636378392375
103,21.6,8.658260140586405,7.059067426686109,8.999522827564215,7.609373194607431
104,21.8,8.723192381544566,7.115483542517482,9.06204282623603,7.653563576240168
105,22.0,8.786076276843147,7.162417493657224,9.128077101871147,7.7419058253600035
106,22.2,8.851181177624214,7.2058136682374725,9.188770740752423,7.808982279451029
107,22.4,8.913889528277311,7.25232742778869,9.255122039784709,7.811267194223536
108,22.6,8.973999689286865,7.285462546969015,9.317906347145218,7.9244745451861265
109,22.8,9.036271048868628,7.3358101772696145,9.381430151294643,7.94017310777689
110,23.0,9.099155256240765,7.439478905773671,9.444535769638739,8.079651099482438
111,23.2,9.16296705423048,7.530953765474813,9.50627884429467,8.175282984432103
112,23.4,9.228173658166186,7.5956075065034705,9.570425517899128,8.335484109335754
113,23.6,9.296969565827327,7.684459288937483,9.6398249963302,8.4405505801621
114,23.8,9.365306568007291,7.716516831104367,9.709614048193183,8.50996477845917
115,24.0,9.431126022910043,7.7626801144389574,9.775112714779787,8.548913272018401
116,24.2,9.496792914596831,7.819306462614165,9.837959221930609,8.53526253149262
117,24.4,9.562967380061286,7.88437785839142,9.900465590883925,8.579707549547871
118,24.6,9.62799884945793,7.933754803742352,9.968778433536992,8.722394592278247
119,24.8,9.695599887029438,8.038786463554782,10.032569013114271,8.840832997777522
120,25.0,9.761788803692673,8.134264696970703,10.102315825089105,8.883750286607945
121,25.2,9.830173032568855,8.275904582497828,10.169451690252982,8.967231641078545
122,25.4,9.897736762987286,8.392911369358218,10.23663535127959,9.071927673549181
123,25.6,9.963898091506264,8.458896619780827,10.297980647820573,9.19242985152257
124,25.8,10.027820447975133,8.446256881483338,10.356918437072201,9.154536569447613
125,26.0,10.093573188675194,8.494687261474736,10.420276728386698,9.152174111381369
126,26.2,10.164684593715636,8.567662026780736,10.495627391572535,9.285806144296993
127,26.4,10.235856653631929,8.688456206838508,10.573187198387947,9.463782299867999
128,26.6,10.308844918790799,8.809263136874131,10.645734329736085,9.651711636853241
129,26.8,10.37865430228102,8.86719715838371,10.712713124872481,9.68991423272861
130,27.0,10.449257405461095,8.945164020078293,10.782963056171633,9.742579141859817
131,27.2,10.522648112236347,9.071295746535863,10.860436131568976,9.780711793796467
132,27.4,10.596445356608411,9.178480291908357,10.937386199340827,10.015281491328137
133,27.6,10.673680793598939,9.329868517628137,11.024258396802457,10.179537891262566
134,27.8,10.75371319999448,9.481139451881402,11.101674348503785,10.338416821418361
135,28.0,10.830989317294524,9.578727357467235,11.168843560404873,10.406371506982925
136,28.2,10.903677128397517,9.710639914556571,11.24484723869127,10.557593268462771
137,28.4,10.97315554587862,9.835286294917887,11.31743445109636,10.624626202110816
138,28.6,11.042716300873025,9.996692121419182,11.387205747615775,10.708615065668083
139,28.8,11.110528819192362,10.10715414009954,11.454282648543485,10.820037915284862
140,29.0,11.182899161155424,10.186934422919032,11.523086637048223,10.936550091264024
141,29.2,11.2509467209864,10.268317272864559,11.595658468039678,11.024418118982519
142,29.4,11.320329976042506,10.387501302147333,11.664412164656069,11.052506577945623
143,29.6,11.391519218005307,10.509707574835742,11.731764542818302,11.174461524280268
144,29.8,11.464683533718064,10.602410952099136,11.801998462007283,11.2743516117513
145,30.0,11.53247223678118,10.76501374507712,11.871848426338035,11.401146524613969
146,30.2,11.59983385785596,10.885792699106439,11.93554882780147,11.543774346436505
147,30.4,11.666136046595716,10.977246643874073,11.998018939826371,11.61524642760646
148,30.6,11.730810085307994,11.074197260404501,12.05947854967341,11.64369359070549
