r "24g (24g)" "48h (48h)" "48h* (48h*)"
0.7675000000000001 0.0 0.6901041666666661 1.281249999999999
0.7725000000000001 0.0 0.6119791666666661 1.273437499999999
0.7775000000000001 0.0 0.5963541666666661 1.3072916666666656
0.7825000000000001 0.0 0.5520833333333328 1.3229166666666656
0.7875000000000001 0.0 0.4687499999999996 1.328124999999999
0.7925000000000001 0.0 0.450520833333333 1.367187499999999
0.7975000000000001 0.0 0.4322916666666663 1.4479166666666654
0.8025000000000001 0.0 0.4322916666666663 1.419270833333332
0.8075000000000001 0.0 0.30208333333333304 1.3906249999999987
0.8125000000000001 0.0 0.2864583333333331 1.5104166666666654
0.8175000000000001 0.0 0.2578124999999998 1.5546874999999987
0.8225000000000001 0.0 0.21614583333333315 1.4010416666666654
0.8275000000000001 0.0 0.21614583333333315 1.5416666666666654
0.8325 0.0 0.20572916666667104 1.3984375000000298
0.8375 0.0 0.1536458333333332 1.434895833333332
0.8425 0.0 0.14322916666666655 1.3984374999999987
0.8475 0.0 0.1692708333333332 1.4401041666666654
0.8525 0.0 0.1328124999999999 1.434895833333332
0.8575 0.0 0.14843749999999986 1.4401041666666654
0.8625 0.0 0.11458333333333325 1.4010416666666654
0.8675 0.0 0.15104166666666652 1.528645833333332
0.8725 0.0 0.1328124999999999 1.335937499999999
0.8775000000000001 0.0 0.09114583333333325 1.2083333333333321
0.8825000000000001 0.0 0.09895833333333325 1.382812499999999
0.8875000000000001 0.0 0.1171874999999999 1.1510416666666656
0.8925000000000001 0.0 0.05989583333333329 1.2994791666666656
0.8975000000000001 0.0 0.08593749999999993 1.242187499999999
0.9025000000000001 0.0 0.06770833333333327 1.1901041666666656
0.9075000000000001 0.0 0.05989583333333329 1.1276041666666656
0.9125000000000001 0.0 0.05989583333333329 1.0911458333333324
0.9175000000000001 0.0 0.06249999999999994 1.0755208333333324
0.9225000000000001 0.0 0.0651041666666666 0.9973958333333324
0.9275000000000001 0.0 0.0364583333333333 1.0911458333333324
0.9325000000000001 0.0 0.04687499999999996 1.0468749999999991
0.9375000000000001 0.0 0.05989583333333329 1.0468749999999991
0.9425000000000001 0.0026041666666666644 0.039062499999999965 0.9973958333333324
0.9475000000000001 0.0026041666666666644 0.044270833333333294 0.8020833333333326
0.9525000000000001 0.0026041666666666644 0.05208333333333329 0.8645833333333326
0.9575 0.0 0.057291666666667886 0.9010416666666858
0.9625 0.0 0.04947916666666662 0.7473958333333327
0.9675 0.0026041666666666644 0.0364583333333333 0.721354166666666
0.9725 0.0026041666666666644 0.04687499999999996 0.7968749999999993
0.9775 0.0026041666666666644 0.04166666666666663 0.721354166666666
0.9825 0.0 0.039062499999999965 0.7109374999999993
0.9875 0.0 0.04687499999999996 0.6145833333333328
0.9925 0.0 0.020833333333333315 0.5781249999999996
0.9975 0.0 0.03124999999999997 0.6406249999999994
1.0025000000000002 0.005208333333333213 0.0390624999999991 0.5130208333333215
1.0075 0.007812500000000167 0.052083333333334446 0.6119791666666797
1.0125000000000002 0.00781249999999982 0.03124999999999928 0.549479166666654
1.0175 0.005208333333333444 0.03906250000000083 0.48697916666667707
1.0225 0.007812500000000167 0.04166666666666755 0.43229166666667584
1.0275 0.0026041666666666067 0.0390624999999991 0.4739583333333223
1.0325 0.013020833333333611 0.052083333333334446 0.43750000000000927
1.0375 0.026041666666666064 0.05208333333333213 0.43489583333332327
1.0425 0.013020833333333611 0.033854166666667386 0.3671875000000078
1.0475 0.02343749999999946 0.05468749999999873 0.4114583333333238
1.0525 0.036458333333334106 0.05468750000000116 0.34114583333334064
1.0575 0.04427083333333231 0.03645833333333249 0.390624999999991
1.0625 0.046875000000001 0.052083333333334446 0.38802083333334164
1.0675000000000001 0.08593749999999802 0.05989583333333195 0.330729166666659
1.0725 0.09635416666666871 0.05468750000000116 0.3098958333333399
1.0775000000000001 0.07291666666666498 0.05989583333333195 0.31510416666665936
1.0825 0.09895833333333544 0.07552083333333494 0.3177083333333401
1.0875000000000001 0.10677083333333087 0.05468749999999873 0.3255208333333258
1.0925 0.13541666666666954 0.05468750000000116 0.2578125000000055
