r "24g (24g)" "48h (48h)" "48h* (48h*)" "48h (48h,48h*)" "48h* (48h,48h*)"
0.3525 1.0677083333333444 2.0424107142857353 0.06510416666666734 2.151759818139083 1.2811127379209502
0.3575 1.0677083333333324 1.940104166666665 0.05952380952380947 2.043975856392567 1.17130307467057
0.3625 1.050967261904761 1.893601190476189 0.06324404761904756 1.9949831465077978 1.2445095168374805
0.3675 1.049107142857142 1.902901785714284 0.08370535714285708 2.004781688484752 1.6471449487554892
0.3725 1.1328124999999991 1.9587053571428554 0.07998511904761899 2.0635729403464746 1.5739385065885785
0.3775 1.1588541666666656 1.994047619047617 0.0967261904761904 2.100807399858899 1.9033674963396763
0.3825 1.0081845238095228 1.893601190476189 0.057663690476190424 1.9949831465077978 1.1346998535871147
0.3875 1.1662946428571417 2.003348214285712 0.07626488095238089 2.110605941835853 1.5007320644216677
0.3925 1.1848958333333321 1.8824404761904745 0.04650297619047615 1.9832248961354533 0.9150805270863828
0.3975 1.099330357142856 2.1168154761904745 0.057663690476190424 2.2301481539546897 1.1346998535871147
0.4025 1.1867559523809512 1.902901785714284 0.05394345238095233 2.004781688484752 1.061493411420204
0.40750000000000003 1.1011904761904752 2.079613095238093 0.06324404761904756 2.1909539860468743 1.2445095168374805
0.41250000000000003 1.1979166666666656 1.98846726190476 0.08742559523809515 2.0949282746727267 1.7203513909223995
0.4175 1.173735119047631 1.9438244047619244 0.06324404761904827 2.047895273183371 1.2445095168374944
0.4225 1.1476934523809512 1.9456845238095222 0.07440476190476183 2.0498549815787395 1.4641288433382125
0.4275 1.1495535714285703 1.858258928571427 0.09858630952380944 1.9577486869953733 1.9399707174231315
0.4325 1.2034970238095228 1.860119047619046 0.06696428571428566 1.9597083953907641 1.3177159590043912
0.4375 1.2034970238095228 1.8396577380952364 0.07440476190476183 1.9381516030414656 1.4641288433382125
0.4425 1.1700148809523798 1.8731398809523794 0.09486607142857134 1.9734263541584995 1.8667642752562208
0.4475 1.1811755952380942 1.826636904761903 0.07068452380952375 1.9244336442737304 1.390922401171302
0.4525 1.1867559523809512 1.7168898809523794 0.11532738095238085 1.8088108489456751 2.2693997071742293
0.4575 1.1830357142857133 1.826636904761903 0.07440476190476183 1.9244336442737304 1.4641288433382125
0.4625 1.210937499999999 1.7540922619047603 0.07626488095238089 1.8480050168534905 1.5007320644216677
0.4675 1.1495535714285703 1.7652529761904745 0.055803571428571376 1.859763267225835 1.0980966325036594
0.47250000000000003 1.1328124999999991 1.703869047619046 0.07068452380952375 1.7950928901779397 1.390922401171302
0.4775 1.2090773809523934 1.7206101190476366 0.09672619047619145 1.812730265736477 1.9033674963396972
0.4825 1.2444196428571417 1.746651785714284 0.0930059523809523 1.8401661832719274 1.8301610541727655
0.4875 1.251860119047618 1.7261904761904745 0.07998511904761899 1.818609390922629 1.5739385065885785
0.4925 1.2741815476190466 1.781994047619046 0.08742559523809515 1.877400642784352 1.7203513909223995
0.4975 1.1886160714285703 1.7652529761904745 0.08556547619047612 1.859763267225835 1.6837481698389445
0.5025000000000001 1.2760416666666656 1.6313244047619033 0.0892857142857142 1.7186642627577002 1.7569546120058548
0.5075000000000001 1.2034970238095228 1.499255952380951 0.10788690476190466 1.5795249666849558 2.122986822840408
0.5125000000000001 1.1923363095238084 1.6294642857142843 0.09114583333333325 1.7167045543623094 1.7935578330893103
0.5175000000000001 1.2034970238095228 1.5959821428571415 0.0892857142857142 1.6814298032452757 1.7569546120058548
0.5225000000000001 1.2593005952380942 1.6592261904761891 0.08556547619047612 1.7480598886885617 1.6837481698389445
0.5275000000000001 1.2295386904761894 1.6015624999999987 0.09114583333333325 1.687308928431448 1.7935578330893103
0.5325000000000001 1.255580357142856 1.4341517857142843 0.10602678571428562 1.510935172846279 2.086383601756953
0.5375000000000001 1.2816220238095228 1.5662202380952368 0.07812499999999993 1.6500744689190234 1.5373352855051232
0.5425000000000001 1.3058035714285703 1.4508928571428559 0.08370535714285708 1.5285725484047958 1.6471449487554892
0.5475000000000001 1.1997767857142847 1.5476190476190463 0.05952380952380947 1.6304773849651157 1.17130307467057
0.5525000000000001 1.249999999999999 1.4062499999999987 0.10974702380952371 1.4815395469154176 2.1595900439238633
0.5575000000000001 1.1848958333333321 1.4657738095238082 0.07812499999999993 1.544250215567922 1.5373352855051232
0.5625000000000001 1.1700148809523798 1.4471726190476177 0.10230654761904753 1.5246531316140144 2.0131771595900423
0.5675000000000001 1.2630208333333321 1.4341517857142843 0.08556547619047612 1.510935172846279 1.6837481698389445
0.5725000000000001 1.3151041666666656 1.3616071428571417 0.11160714285714275 1.4345065454260395 2.196193265007319
0.5775 1.1421130952381195 1.3820684523809819 0.09672619047619253 1.45606333777537 1.9033674963397185
